exerciseId,exerciseName,category,primaryMuscles,equipment,resultType,status,confidence,moveKitSlug,moveKitTitle,moveKitUrl,moveKitPrimaryMuscles,moveKitSecondaryMuscles,moveKitEquipment,notes
barbell-bench-press,Жим штанги лежа,strength,chest,"Штанга, скамья",weight_reps,exact_slug,1,barbell-bench-press,Barbell Bench Press,https://movekit.com/exercises/barbell-bench-press,Chest,Triceps,Barbell,Catalog id equals MoveKit slug.
dumbbell-bench-press,Жим гантелей лежа,strength,chest,"Гантели, скамья",weight_reps,exact_slug,1,dumbbell-bench-press,Dumbbell Bench Press,https://movekit.com/exercises/dumbbell-bench-press,Chest,Triceps,Dumbbell,Catalog id equals MoveKit slug.
incline-barbell-bench-press,Жим штанги на наклонной скамье,strength,chest,"Штанга, наклонная скамья",weight_reps,renamed_match,0.75,barbell-incline-bench-press,Barbell Incline Bench Press,https://movekit.com/exercises/barbell-incline-bench-press,Chest,Shoulders|Triceps,Barbell,"Same normalized tokens, different word order or provider naming."
incline-dumbbell-bench-press,Жим гантелей на наклонной скамье,strength,chest,"Гантели, наклонная скамья",weight_reps,renamed_match,0.75,dumbbell-incline-bench-press,Dumbbell Incline Bench Press,https://movekit.com/exercises/dumbbell-incline-bench-press,Chest,Shoulders|Triceps,Dumbbell,"Same normalized tokens, different word order or provider naming."
decline-barbell-bench-press,Жим штанги на обратно-наклонной скамье,strength,chest,"Штанга, обратно-наклонная скамья",weight_reps,reusable_asset,0.55,barbell-bench-press,Barbell Bench Press,https://movekit.com/exercises/barbell-bench-press,Chest,Triceps,Barbell,"Temporary fallback: close base movement exists, but loading/modifier differs."
decline-dumbbell-bench-press,Жим гантелей на обратно-наклонной скамье,strength,chest,"Гантели, обратно-наклонная скамья",weight_reps,renamed_match,0.75,dumbbell-decline-bench-press,Dumbbell Decline Bench Press,https://movekit.com/exercises/dumbbell-decline-bench-press,Chest,Triceps,Dumbbell,"Same normalized tokens, different word order or provider naming."
smith-machine-bench-press,Жим лежа в Смите,strength,chest,"Тренажер Смита, скамья",weight_reps,renamed_match,0.75,smith-machine-incline-bench-press,Smith Machine Incline Bench Press,https://movekit.com/exercises/smith-machine-incline-bench-press,Chest,Shoulders|Triceps,Machine,High token overlap (0.80) with provider naming.
machine-chest-press,Жим от груди в тренажере,strength,chest,Тренажер для жима от груди,weight_reps,exact_slug,1,machine-chest-press,Machine Chest Press,https://movekit.com/exercises/machine-chest-press,Chest,Triceps,Machine,Catalog id equals MoveKit slug.
seated-cable-chest-press,Жим от груди в кроссовере сидя,strength,chest,"Кроссовер, скамья",weight_reps,exact_alias_or_title,0.9,cable-chest-press,Cable Chest Press,https://movekit.com/exercises/cable-chest-press,Chest,Shoulders|Triceps,Cable Machine,Search alias/name equals MoveKit title or slug after normalization.
barbell-floor-press,Жим штанги с пола,strength,chest,Штанга,weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
dumbbell-floor-press,Жим гантелей с пола,strength,chest,Гантели,weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
dumbbell-fly,Разведение гантелей лежа,strength,chest,"Гантели, скамья",weight_reps,reusable_asset,0.55,cable-bench-chest-fly,Cable Bench Chest Fly,https://movekit.com/exercises/cable-bench-chest-fly,Chest,,Cable Machine,"Temporary fallback: close base movement exists, but loading/modifier differs."
incline-dumbbell-fly,Разведение гантелей на наклонной скамье,strength,chest,"Гантели, наклонная скамья",weight_reps,needs_manual_review,0.3,dumbbell-incline-chest-fly,Dumbbell Incline Chest Fly,https://movekit.com/exercises/dumbbell-incline-chest-fly,Chest,,Dumbbell,Possible candidates need visual/manual check: dumbbell-incline-chest-fly (0.75); dumbbell-incline-chest-fly (0.75).
cable-fly,Сведение рук в кроссовере,strength,chest,Кроссовер,weight_reps,reusable_asset,0.55,cable-bench-chest-fly,Cable Bench Chest Fly,https://movekit.com/exercises/cable-bench-chest-fly,Chest,,Cable Machine,"Temporary fallback: close base movement exists, but loading/modifier differs."
high-to-low-cable-fly,Сведение рук в кроссовере сверху вниз,strength,chest,Кроссовер,weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
low-to-high-cable-fly,Сведение рук в кроссовере снизу вверх,strength,chest,Кроссовер,weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
pec-deck-fly,Сведение рук в тренажере бабочка,strength,chest,Тренажер бабочка,weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
plate-squeeze-press,Жим блина перед собой,strength,chest,Блин,weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
dumbbell-pullover-chest,Пуловер с гантелью с акцентом на грудь,strength,chest,"Гантель, скамья",weight_reps,not_found,0,,,,,,,"No close public MoveKit page found by slug, alias, title, or token overlap."
push-up,Отжимания от пола,strength,chest,Собственный вес,reps_only,exact_slug,1,push-up,Push Up,https://movekit.com/exercises/push-up,Chest,Shoulders|Triceps,Bodyweight,Catalog id equals MoveKit slug.
weighted-push-up,Отжимания с дополнительным весом,strength,chest,Блин или жилет,weighted_bodyweight,reusable_asset,0.55,bodyweight-elevated-push-up,Bodyweight Elevated Push Up,https://movekit.com/exercises/bodyweight-elevated-push-up,Chest,Triceps,Bodyweight,"Temporary fallback: close base movement exists, but loading/modifier differs."
knee-push-up,Отжимания с колен,strength,chest,Собственный вес,reps_only,renamed_match,0.75,bodyweight-knee-push-ups,Bodyweight Knee Push Ups,https://movekit.com/exercises/bodyweight-knee-push-ups,Chest,Triceps,Bodyweight,"Same normalized tokens, different word order or provider naming."
incline-push-up,Отжимания от опоры,strength,chest,"Собственный вес, опора",reps_only,exact_slug,1,incline-push-up,Incline Push Up,https://movekit.com/exercises/incline-push-up,Chest,Triceps,Bodyweight,Catalog id equals MoveKit slug.
